lucode,MAES_Code,MAES_Class,Subclass,c_above,c_below,c_soil,c_dead,Notes
28,6,Sparsely vegetated land,Sparse herbaceous / pioneer vegetation – temperate,2,1,18,0,"IPCC Tier 1; disturbed / post-industrial sparse cover"
29,6,Sparsely vegetated land,Sparse shrub / xeric scrub – Mediterranean / arid,3,2,15,0,"IPCC Tier 1; arid zone sparse scrub"
30,6,Sparsely vegetated land,Bare rock / lithosol,0,0,3,0,"IPCC 2006; no vegetation; negligible SOC"
31,6,Sparsely vegetated land,Sandy / gravel desert / dunes,0,0,2,0,"IPCC 2006; desert Arenosols; near-zero SOC"
32,6,Sparsely vegetated land,Glaciers / permanent snow,0,0,0,0,"No carbon pools; permanent ice"
33,7,Wetlands,Inland freshwater marsh / fen – temperate,5,4,400,1,"IPCC Wetlands Supplement 2013 Table 2.1; temperate fen; very high peat SOC"
34,7,Wetlands,Bog / raised peatland – boreal / temperate,4,3,700,1,"IPCC Wetlands Supplement 2013; ombrotrophic bog; highest SOC of any ecosystem"
35,7,Wetlands,Saltmarsh / coastal marsh,8,4,250,2,"IPCC Wetlands Supplement 2013 Table 4.6; tidal marsh; blue carbon SOC"
36,7,Wetlands,Mangrove,160,35,386,14,"IPCC Wetlands Supplement 2013 Table 4.2; mangrove highest above-ground + blue carbon SOC"
37,7,Wetlands,Flooded woodland / swamp forest – temperate,50,12,200,7,"IPCC Tier 1; boreal/temperate swamp forest; peat SOC"
38,7,Wetlands,Flooded woodland / swamp forest – tropical,100,22,80,10,"IPCC 2006 Table 4.1; seasonally flooded tropical forest"
39,7,Wetlands,Seasonally flooded grassland / floodplain,5,4,120,1,"IPCC Tier 1; tropical/subtropical floodplain herbaceous"
40,8,Rivers and lakes,Rivers / streams / canals,0,0,0,0,"Open water; no applicable carbon pools for InVEST"
41,8,Rivers and lakes,Lakes / reservoirs / ponds,0,0,0,0,"Open water; no applicable carbon pools for InVEST"
